mitograph_data_extract_v2.py
directory: 2019_02_16_ethanol


image path	cellID	genotype	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
2019_02_16_ethanol_10_w2488 laser 10_cell_005	2019021600005	ethanol	4	6.354135557363173	45.599541661076444	1.6578784430425448	0.3638267532666061	17.48967	1.5885338893407932	11.399885415269111	1.2639120428771158	0.6623646998268707	21.12976881520563	1.4248627210813625	0.5087040011901998	91.0086143596894	31.592432203398925	0.43063	0.10822	10.0	0	42.4269	0.1497666706114086
2019_02_16_ethanol_10_w2488 laser 10_cell_006	2019021600006	ethanol	1	5.6626194710900215	40.91978300060972	1.6319949332377577	0.3754588864960536	20.983320000000006	5.6626194710900215	40.91978300060972	1.6319949332377577	0.3754588864960536	40.91978300060972	1.6319949332377572	0.3754588864960536	46.22560511574061	46.22560511574061	0.3994	0.10686	5.0	0	52.452	0.1079581230666137
2019_02_16_ethanol_10_w2488 laser 10_cell_007	2019021600007	ethanol	2	7.6969967310353065	56.95500987981018	1.7444592248929462	0.3310038620594541	28.69374	3.8484983655176532	28.47750493990509	1.4198639247884692	0.5659343749631056	49.14262985859933	1.6722887845670462	0.3731170932454068	68.84717886521629	50.895342770843115	0.39335	0.10964000000000003	7.0	1	65.1355	0.11816899741362709
2019_02_16_ethanol_10_w2488 laser 10_cell_008	2019021600008	ethanol	5	8.518227251789448	62.76873716173426	1.764059486255963	0.3213464807253924	26.25763	1.7036454503578895	12.553747432346851	1.3240122667820062	0.5894625941618805	17.571142942965214	1.4081342732935016	0.5119951164465899	127.244595582107	30.096066050150746	0.41245	0.109	15.0	0	47.398999999999994	0.17971322711005397
2019_02_16_ethanol_10_w2488 laser 10_cell_009	2019021600009	ethanol	6	7.853943239056387	58.9362326622262	1.7562508090859708	0.3242103875708449	24.3137	1.3089905398427308	9.822705443704367	1.254883697175416	0.6708483335981948	24.70721071843497	1.4712228912375307	0.4756280372083869	133.8746119738951	34.69742001660905	0.40449	0.10262	11.0	0	82.5518	0.0951395758669876
2019_02_16_ethanol_10_w2488 laser 10_cell_010	2019021600010	ethanol	5	10.264336202641305	78.85474390841226	1.858067816599072	0.2896522310175805	33.888459999999995	2.0528672405282604	15.770948781682456	1.346166154527229	0.5831085312629362	30.7598654220042	1.531417723051289	0.4529670386593874	138.21950454485378	40.188280678362425	0.38849	0.10468	16.0	0	63.9514	0.16050213447463707
2019_02_16_ethanol_10_w2488 laser 10_cell_011	2019021600011	ethanol	4	7.577808186032926	57.516855429237005	1.7557969982448483	0.3243780028507233	25.45964	1.8944520465082315	14.379213857309251	1.2943136559335875	0.6426078995730333	34.487193144176366	1.5580047363945486	0.4385839570979727	100.8380611927084	42.05165594297847	0.40937	0.1029	9.0	0	68.8651	0.11003844016828446
2019_02_16_ethanol_11_w2488 laser 10_cell_001	2019021601001	ethanol	5	8.481494091499608	65.28091700943729	1.801607881103512	0.3080913136982876	30.69592	1.6962988182999217	13.056183401887456	1.2844576398481775	0.6553899451216876	43.81943904242469	1.6314004873629082	0.3950273447703473	124.11545949881074	47.75304888414626	0.39372	0.11	12.0	1	67.0652	0.12646639526162015
2019_02_16_ethanol_11_w2488 laser 10_cell_002	2019021601002	ethanol	1	7.662825946387203	59.053727892425286	1.7724960526581481	0.31829472894586164	33.20547	7.662825946387203	59.053727892425286	1.7724960526581481	0.31829472894586164	59.053727892425286	1.7724960526581481	0.31829472894586164	59.2218563839297	59.2218563839297	0.37028	0.10511	4.0	0	41.7507	0.18353766395263318
2019_02_16_ethanol_11_w2488 laser 10_cell_003	2019021601003	ethanol	2	5.1730087643727485	39.2893452963442	1.6547335229585094	0.36816130607952136	19.29622	2.5865043821863742	19.6446726481721	1.428314625192864	0.5089106538225494	28.913619208656193	1.5408034333210272	0.42973853475062973	64.29625706421899	39.50015144394481	0.40312	0.09242	6.0	1	52.2942	0.09892127165866862
