mitograph_data_extract_v2.py
directory: 2019_02_15_glycerol


image path	cellID	genotype	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
2019_02_15_glycerol_12_w2488 laser 10_cell_007	2019021502007	glycerol	1	9.20224618089636	69.5579542110803	1.8098116887238205	0.3053045118420649	36.18876	9.20224618089636	69.5579542110803	1.8098116887238205	0.3053045118420649	69.5579542110803	1.8098116887238205	0.3053045118420649	63.04147313882335	63.04147313882335	0.40128	0.10479	6.0	0	89.8642	0.10240169256385034
2019_02_15_glycerol_12_w2488 laser 10_cell_008	2019021502008	glycerol	2	3.4463748069631865	26.20558576488161	1.5411114176178442	0.4210483055979695	9.97287	1.7231874034815933	13.102792882440808	1.291187773720829	0.6587915346856171	23.9661488849293	1.5021307447331822	0.4500263835267978	50.05520279486388	36.36382945048892	0.39741	0.10509	6.0	0	40.0403	0.08607265197721262
2019_02_15_glycerol_12_w2488 laser 10_cell_009	2019021502009	glycerol	2	7.485309851484482	57.85181718901551	1.7681258741303147	0.31987009622596624	27.36119	3.7426549257422415	28.925908594507757	1.4502221888345894	0.5417655616234498	54.751335763472454	1.738301345143478	0.3354342325559748	73.27325976621806	56.244606743576526	0.39498	0.10442	9.0	0	77.0934	0.09709404244052645
2019_02_15_glycerol_12_w2488 laser 10_cell_010	2019021502010	glycerol	8	7.185002982744456	55.513316652671435	1.7558235689382136	0.3243681853686179	22.34963	0.898125372843057	6.9391645815839285	1.2013712942372852	0.7266225620519294	14.379595293761088	1.364543095849846	0.5520912946632783	155.28993876474934	27.59722744365428	0.38296	0.11213	18.0	1	73.6553	0.09754902882405553
2019_02_15_glycerol_12_w2488 laser 10_cell_011	2019021502011	glycerol	10	7.725142150684055	58.27030924411636	1.755952536296604	0.3243205401493757	18.75795	0.7725142150684056	5.827030924411637	1.1542692338309335	0.7773072282351222	12.211718047077149	1.293630398899496	0.6326146264713348	170.8774819431249	24.23107961726891	0.44355	0.1081	22.0	0	80.4013	0.09608230402598036
2019_02_15_glycerol_12_w2488 laser 10_cell_012	2019021502012	glycerol	9	8.519082767454156	64.04948697411278	1.781906120702626	0.3149418402466411	22.903270000000006	0.9465647519393507	7.116609663790307	1.2072578808843728	0.7131525113325553	11.773230852249892	1.3173761592230806	0.5900284213572863	175.11008340292858	24.801611644259587	0.40333	0.12131	18.0	0	91.581	0.09302238201651168
2019_02_15_glycerol_12_w2488 laser 10_cell_013	2019021502013	glycerol	1	1.5626094819677347	10.738193966761527	1.2841233454909222	0.6064381537195229	2.21942	1.5626094819677347	10.738193966761527	1.2841233454909222	0.6064381537195229	10.738193966761527	1.2841233454909222	0.6064381537195229	22.518860544455	22.518860544455	0.32185	0.11799	2.0	0	20.2859	0.07702933968755316
2019_02_15_glycerol_13_w2488 laser 10_cell_001	2019021503001	glycerol	6	5.774094352995429	42.862779994613646	1.6594728311371336	0.3631279742713405	16.16116	0.9623490588325716	7.143796665768943	1.215663932555186	0.6996719609794985	12.533005773635445	1.3301189501332218	0.572926257525959	118.55287776050535	25.3111371488691	0.41885	0.1017	12.0	1	72.3875	0.07976645626655747
2019_02_15_glycerol_13_w2488 laser 10_cell_002	2019021503002	glycerol	7	8.050876013668526	59.0916033488757	1.7441069470006714	0.32874092749454936	20.39652	1.1501251448097896	8.441657621267955	1.2215395096008403	0.6967714702535754	14.53871818458345	1.3425744156492152	0.5732924301784874	141.48837970180588	26.478709742187856	0.42526	0.09592	14.0	0	96.0272	0.08383953727348634
2019_02_15_glycerol_13_w2488 laser 10_cell_003	2019021503003	glycerol	5	3.4371114804629124	25.155201937557894	1.5112650388988118	0.4378433204889801	6.9954100000000015	0.6874222960925824	5.031040387511579	1.1550001657374591	0.7595335173587022	7.186581699594573	1.204042496938415	0.6975927926671266	83.05445440390484	18.757900237985712	0.4297	0.1342	9.0	0	44.1845	0.07778998247038922
