mitograph_data_extract_v2.py
directory: 2019_02_15_galactose


image path	cellID	genotype	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
2019_02_15_galactose_10_w2488 laser 10_cell_011	2019021500011	galactose	1	3.6256469592422653	25.15430717451972	1.4845754690788608	0.4537278527594448	11.26883	3.6256469592422653	25.15430717451972	1.4845754690788608	0.4537278527594448	25.15430717451972	1.4845754690788608	0.4537278527594448	34.79629682566507	34.79629682566507	0.4148600000000001	0.10235	1.0	0	27.2077	0.13325812028367945
2019_02_15_galactose_11_w2488 laser 10_cell_001	2019021501001	galactose	6	6.070380938075044	45.91562217330135	1.6891421246630114	0.35048353021567585	18.37392	1.0117301563458403	7.6526036955502255	1.2530072306526263	0.6492198083105912	13.846297578580694	1.3379572357070506	0.5743252728535112	128.20487756685233	26.128778158096804	0.43214	0.11346	11.0	0	50.7092	0.11970965698680011
2019_02_15_galactose_11_w2488 laser 10_cell_002	2019021501002	galactose	1	3.707346348255376	28.501548377165502	1.5685719505598683	0.4064350100707861	14.66467	3.707346348255376	28.501548377165502	1.5685719505598683	0.4064350100707861	28.501548377165502	1.5685719505598683	0.4064350100707861	41.04303997374753	41.04303997374753	0.37413	0.10442	4.0	0	27.0822	0.13689236281599634
2019_02_15_galactose_11_w2488 laser 10_cell_003	2019021501003	galactose	3	3.5148134953400962	26.61827675915452	1.5430517004148496	0.41999009199112985	11.26376	1.171604498446699	8.872758919718176	1.28026707400039	0.6251778139156045	13.186269820732631	1.3598591638463362	0.5425330676328769	68.44850910007024	26.816292968951636	0.40191	0.09733	8.0	0	46.1199	0.07621034510786225
2019_02_15_galactose_11_w2488 laser 10_cell_004	2019021501004	galactose	2	1.9223935466690532	14.156598734459779	1.3760154142100265	0.5281452791267645	5.5401099999999985	0.9611967733345268	7.0782993672298895	1.2107375915833345	0.7088970203493541	12.887087009685994	1.3388062432110617	0.5608184686145773	39.19602187099164	25.613016785921136	0.42636	0.08997999999999999	5.0	0	31.3103	0.06139811968167194
2019_02_15_galactose_11_w2488 laser 10_cell_005	2019021501005	galactose	2	4.085123451652271	30.17062787033387	1.5624820977347558	0.4096093861084496	12.38246	2.042561725826136	15.085313935166935	1.3724970475988636	0.5517972499706368	27.192308093322417	1.5167683469974975	0.4372656816428905	57.113715159465244	37.26467010785233	0.41185	0.11067	4.0	0	54.0275	0.07561192821530278
2019_02_15_galactose_11_w2488 laser 10_cell_006	2019021501006	galactose	1	2.2580019514392657	17.353232246443756	1.4581814716891424	0.4796450357090804	8.63533	2.2580019514392657	17.353232246443756	1.4439096637746718	0.4796450357090804	17.353232246443756	1.4439096637746718	0.4796450357090804	32.01446553224769	32.01446553224769	0.39119	0.09264	6.0	1	31.7434	0.07113295839258761
2019_02_15_galactose_11_w2488 laser 10_cell_007	2019021501007	galactose	3	7.2083107334144545	53.976302498179706	1.7294778465204987	0.3343258775945093	21.64904	2.4027702444714847	17.992100832726567	1.3835253783908297	0.5502566975835763	27.11615846561728	1.5113025447939734	0.4532877375187309	88.91069551809227	37.74977496754657	0.40957	0.10243	9.0	0	83.4745	0.08635344606334215
2019_02_15_galactose_12_w2488 laser 10_cell_001	2019021502001	galactose	7	6.654341065481508	49.957150494324154	1.7087889024344591	0.342470501912748	16.63014	0.950620152211644	7.13673578490345	1.2089939991368797	0.7036381758614754	10.670728515379844	1.291727041049007	0.6147949658555709	135.4547462837407	23.436612121946034	0.4245	0.11901	14.0	0	53.9791	0.12327625072447498
2019_02_15_galactose_12_w2488 laser 10_cell_002	2019021502002	galactose	2	6.284227222719232	46.10817091653547	1.6732580576136082	0.3571693224534235	19.09192	3.1421136113596164	23.054085458267735	1.4906208809117056	0.4501311865566211	23.05661302425917	1.4906858641243907	0.4500919420768632	70.45815747004008	35.23368544835748	0.43585	0.08362	10.0	0	64.4668	0.09748005520235581
